#{"t_start": 1748360455.3771858, "env_id": "None"}
r,l,t
146.629436,54,28.559513
142.779571,62,28.652416
145.130217,50,28.722786
144.37846,61,28.809781
141.278782,68,28.905301
144.379436,59,28.992763
146.629046,54,29.06193
145.128851,58,29.135726
143.62846,63,29.215076
142.030646,62,29.302498
144.280477,59,29.381967
144.28479,54,29.45276
145.879632,53,29.540417
142.879436,59,29.614608
145.129827,53,29.685338
142.776826,62,29.768127
143.628656,61,29.874315
-66.499728,42,29.929684
145.878851,59,30.012814
143.629436,56,30.10163
146.630217,49,30.171623
141.277816,65,30.256538
146.53094,50,30.3391
145.027816,60,30.422563
145.130217,51,30.494565
145.129436,53,30.567094
145.130217,51,30.639769
143.630217,53,30.716569
142.879241,60,30.79893
144.37846,61,30.877597
144.379241,57,30.962128
145.880022,51,31.080498
142.034187,65,31.165386
146.629241,55,31.257583
144.37768,67,31.358844
143.532409,55,33.428845
145.879632,53,33.498692
145.880022,51,33.567257
145.879632,53,33.641916
146.629827,51,33.709353
144.380608,51,33.783151
146.630022,51,33.85648
144.379241,56,33.952596
145.781822,52,34.029471
144.380412,50,34.111952
146.629827,52,34.209225
145.879436,53,34.290644
144.380217,52,34.368818
145.129046,56,34.455638
145.129241,56,34.544704
145.784595,54,34.653518
144.379436,55,34.737044
146.629632,52,34.814142
145.880217,51,34.905609
144.37846,62,34.981339
147.379436,53,35.050356
145.027406,53,35.124495
143.527417,56,35.196976
146.629827,52,35.269701
145.129046,58,35.351555
145.879241,56,35.44759
143.628851,60,35.535223
145.129436,53,35.619244
145.129046,57,35.698667
144.379827,54,35.777833
145.87846,60,35.859687
146.629241,55,35.932308
145.879436,52,36.00668
145.032409,54,36.077733
145.129827,52,36.155723
145.879632,54,36.241313
145.879436,55,36.320249
147.379046,54,36.406271
-66.207113,47,36.468353
143.533616,62,38.675641
145.129241,56,38.747683
146.531843,50,38.824589
144.282195,51,38.907984
145.683716,49,38.995433
146.583165,56,39.069782
143.62807,64,39.148823
147.380022,49,39.227324
145.879632,53,39.31046
147.379827,51,39.390048
145.878851,57,39.467503
145.128656,60,39.550511
146.630022,50,39.619142
146.629827,51,39.697839
144.278393,49,39.770443
