scenario,n_runs,n_survived,survival_rate,avg_time_surv,sd_time_surv,avg_pulse_count,sd_pulse_count,avg_total_pulse_time,sd_total_pulse_time,avg_indiv_pulse_dur,sd_indiv_pulse_dur,avg_Fcrit_surv,sd_Fcrit_surv,avg_Fcrit_breach,sd_Fcrit_breach,avg_init_Fcrit,sd_init_Fcrit,phi_1,k_g,heuristic,smct,norm_gain_thresh
SMCTSweep_x0.70_AbsGainHeurON,50,0,0.0,214.36,79.9211511428608,9.86,1.6614451540752107,155.1,25.913124087998344,15.0,0.0,,,173.16124877743547,2.541406589863872,181.01933598375618,0.0,0.3,0.02,AbsGain,5.6,0.1
SMCTSweep_x0.75_AbsGainHeurON,50,0,0.0,206.8,76.37748359300666,9.44,1.6390240998838304,156.6,24.58536149825746,15.0,0.0,,,173.38034710232594,2.4296320231689053,181.01933598375618,0.0,0.3,0.02,AbsGain,6.0,0.1
SMCTSweep_x0.80_AbsGainHeurON,50,0,0.0,159.28,25.82017815585322,0.0,0.0,0.0,0.0,,,,,176.05616598375545,0.8004008471386341,181.01933598375618,0.0,0.3,0.02,AbsGain,6.4,0.1
PDMStrong_phi1_0.75_kg_0.05_HeurOFF,50,15,0.3,403.34,83.67977294424261,16.7,5.550675634551167,239.02,85.9517283130479,14.3125748502994,2.928983384989941,129.38254606952793,1.351579322377335,146.09663332175649,8.500076602977755,181.01933598375618,0.0,0.75,0.05,OFF,,0.1
PDMStrong_phi1_0.75_kg_0.05_SMCTx0.25_HeurON,50,15,0.3,403.34,83.67977294424261,16.7,5.550675634551167,239.02,85.9517283130479,14.3125748502994,2.928983384989941,129.38911273619482,1.3505782946744596,146.09901903604225,8.499234245609378,181.01933598375618,0.0,0.75,0.05,AbsGain,2.0,0.1
NormGain_Baseline_HeurOFF_phi1_0.30_kg_0.02,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,OFF,,0.1
NormGain_Threshx0.05_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.05
NormGain_Threshx0.10_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.1
NormGain_Threshx0.15_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.15
NormGain_Threshx0.20_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.2
NormGain_Threshx0.25_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.25
NormGain_Threshx0.30_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.3
NormGain_Threshx0.35_HeurON,50,47,0.94,498.28,6.855771291401136,22.2,1.6492422502470643,327.76,24.064546536346786,14.763963963963963,1.4563184975371877,162.9552152221874,0.19080337587921448,163.91107642735605,0.051773910901014214,181.01933598375618,0.0,0.3,0.02,NormGain,,0.35
NormGain_Threshx0.40_HeurON,50,0,0.0,163.28,25.82017815585322,0.0,0.0,0.0,0.0,,,,,175.92765598375522,0.8004255228316025,181.01933598375618,0.0,0.3,0.02,NormGain,,0.4
AnomalyInvestigate_SMCTx0.70_AbsGainHeurON,1,0,0.0,176.0,0.0,10.0,0.0,165.0,0.0,15.0,0.0,,,174.2475517217123,0.0,181.01933598375618,0.0,0.3,0.02,AbsGain,5.6,0.1
